brand,model_name,storage_gb,sale_status,official_url,source_url,data_quality
荣耀,荣耀Robot Phone,,on_sale,https://www.honor.com/cn/phones/honor-robot-phone/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀600 超级版,,on_sale,https://www.honor.com/cn/phones/honor-600/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀600 元气版,,on_sale,https://www.honor.com/cn/phones/honor-600-genki/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀Play11,,on_sale,https://www.honor.com/cn/phones/honor-play11/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀Magic V6,,on_sale,https://www.honor.com/cn/phones/honor-magic-v6/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀Magic8 Pro Air,,on_sale,https://www.honor.com/cn/phones/honor-magic8-pro-air/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀Magic8 RSR 保时捷设计,,on_sale,https://www.honor.com/cn/phones/honor-magic8-rsr-porsche-design/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀Magic V Flip2,,on_sale,https://www.honor.com/cn/phones/honor-magic-v-flip2/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀500 Pro MOLLY 20周年限定版,,on_sale,https://www.honor.com/cn/phones/honor-500-pro-molly/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀500 Pro,,on_sale,https://www.honor.com/cn/phones/honor-500-pro/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀WIN Turbo,,on_sale,https://www.honor.com/cn/phones/honor-win-turbo/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀WIN RT,,on_sale,https://www.honor.com/cn/phones/honor-win-rt/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀WIN,,on_sale,https://www.honor.com/cn/phones/honor-win/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀Power2,,on_sale,https://www.honor.com/cn/phones/honor-power2/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀Power,,on_sale,https://www.honor.com/cn/phones/honor-power/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀X80 Pro Max,,on_sale,https://www.honor.com/cn/phones/honor-x80-pro-max/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀X70 Pro Max,,on_sale,https://www.honor.com/cn/phones/honor-x70-pro-max/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀X80i,,on_sale,https://www.honor.com/cn/phones/honor-x80i/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀X70 焕新版,,on_sale,https://www.honor.com/cn/phones/honor-x70-new/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀X60 GT,,on_sale,https://www.honor.com/cn/phones/honor-x60-gt/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀Play11T,,on_sale,https://www.honor.com/cn/phones/honor-play11t/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀Play11 Plus,,on_sale,https://www.honor.com/cn/phones/honor-play11-plus/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀Play10,,on_sale,https://www.honor.com/cn/phones/honor-play10/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀Play11C,,on_sale,https://www.honor.com/cn/phones/honor-play11c/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀畅玩80m,,on_sale,https://www.honor.com/cn/phones/honor-changwan-80m/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀畅玩80 Plus,,on_sale,https://www.honor.com/cn/phones/honor-changwan-80-plus/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀畅玩70C,,on_sale,https://www.honor.com/cn/phones/honor-changwan-70c/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀畅玩80,,on_sale,https://www.honor.com/cn/phones/honor-changwan-80/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀畅玩80 Pro,,on_sale,https://www.honor.com/cn/phones/honor-changwan-80-pro/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀Magic8,,on_sale,https://www.honor.com/cn/phones/honor-magic8/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀Magic V5,,on_sale,https://www.honor.com/cn/phones/honor-magic-v5/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀400 Pro,,on_sale,https://www.honor.com/cn/phones/honor-400-pro/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀400,,on_sale,https://www.honor.com/cn/phones/honor-400/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀Play10T,,on_sale,https://www.honor.com/cn/phones/honor-play10t/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀畅玩70m Plus,,on_sale,https://www.honor.com/cn/phones/honor-changwan-70m-plus/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀Play10C,,on_sale,https://www.honor.com/cn/phones/honor-play10c/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀畅玩70 Plus,,on_sale,https://www.honor.com/cn/phones/honor-changwan-70-plus/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀X70i,,on_sale,https://www.honor.com/cn/phones/honor-x70i/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀X70,,on_sale,https://www.honor.com/cn/phones/honor-x70/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀GT Pro,,on_sale,https://www.honor.com/cn/phones/honor-gt-pro/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀Play 10A,,on_sale,https://www.honor.com/cn/phones/honor-play-10a/,https://www.honor.com/cn/phones/,official_catalog_only
荣耀,荣耀畅玩60A,,on_sale,https://www.honor.com/cn/phones/honor-changwan-60a/,https://www.honor.com/cn/phones/,official_catalog_only
华为,HUAWEI Mate XT 2 非凡大师,,on_sale,https://consumer.huawei.com/cn/phones/mate-xt-2-ultimate-design/,https://consumer.huawei.com/cn/phones/,official_catalog_only
华为,HUAWEI Pura X View,,on_sale,https://consumer.huawei.com/cn/phones/pura-x-view/,https://consumer.huawei.com/cn/phones/,official_catalog_only
一加,一加 Ace 5 竞速版,,on_sale,https://www.oneplus.com/cn/ace-5-racing/specs,https://www.oneplus.com/cn,official_catalog_only
一加,一加 Ace 5 至尊版,,on_sale,https://www.oneplus.com/cn/ace-5-ultra/specs,https://www.oneplus.com/cn,official_catalog_only
一加,一加 Ace 6T,,on_sale,https://www.oneplus.com/cn/ace-6t/specs,https://www.oneplus.com/cn,official_catalog_only
小米,Xiaomi 16,,on_sale,https://www.mi.com/prod/xiaomi-16/specs,https://www.mi.com/,official_catalog_only
小米,Xiaomi 16 Pro,,on_sale,https://www.mi.com/prod/xiaomi-16-pro/specs,https://www.mi.com/,official_catalog_only
小米,Xiaomi 16 Ultra,,on_sale,https://www.mi.com/prod/xiaomi-16-ultra/specs,https://www.mi.com/,official_catalog_only
三星,Samsung Galaxy Z Fold8 Ultra,,on_sale,https://www.samsung.com.cn/smartphones/galaxy-z-fold8-ultra/,https://www.samsung.com.cn/smartphones/,official_catalog_only
三星,Samsung W26,,on_sale,https://www.samsung.com.cn/smartphones/samsung-w26/,https://www.samsung.com.cn/smartphones/,official_catalog_only
