id,model_id,brand,model_name,ram_gb,storage_gb,variant_name,launch_price,launch_price_source,color_limited,is_active,created_at,updated_at
47,26,OPPO,OPPO K15 Pro,12,256,12GB+256,,,False,True,2026-09-02 15:03:17.560470,2026-09-02 15:03:17.560470
48,26,OPPO,OPPO K15 Pro,12,512,12GB+512,,,False,True,2026-09-02 15:03:17.560470,2026-09-02 15:03:17.560470
49,27,OPPO,OPPO A6s Pro,8,128,8GB+128,,,False,True,2026-09-02 15:03:17.561470,2026-09-02 15:03:17.561470
50,27,OPPO,OPPO A6s Pro,8,256,8GB+256,,,False,True,2026-09-02 15:03:17.561470,2026-09-02 15:03:17.561470
51,27,OPPO,OPPO A6s Pro,12,256,12GB+256,,,False,True,2026-09-02 15:03:17.561470,2026-09-02 15:03:17.561470
52,27,OPPO,OPPO A6s Pro,12,512,12GB+512,,,False,True,2026-09-02 15:03:17.561470,2026-09-02 15:03:17.561470
53,28,vivo,vivo X300 Ultra,12,256,12GB+256,6999.00,https://www.vivo.com.cn/vivo/param/x300ultra,False,True,2026-09-02 15:03:17.563552,2026-09-02 15:03:17.563552
54,28,vivo,vivo X300 Ultra,12,512,12GB+512,7499.00,https://www.vivo.com.cn/vivo/param/x300ultra,False,True,2026-09-02 15:03:17.563552,2026-09-02 15:03:17.563552
55,28,vivo,vivo X300 Ultra,16,512,16GB+512,7999.00,https://www.vivo.com.cn/vivo/param/x300ultra,False,True,2026-09-02 15:03:17.563552,2026-09-02 15:03:17.563552
56,28,vivo,vivo X300 Ultra,16,1024,16GB+1TB,,,False,True,2026-09-02 15:03:17.563552,2026-09-02 15:03:17.563552
57,29,vivo,vivo X300 Pro,12,256,12GB+256,5699.00,https://www.vivo.com.cn/vivo/param/x300pro,False,True,2026-09-02 15:03:17.565492,2026-09-02 15:03:17.565492
58,29,vivo,vivo X300 Pro,16,512,16GB+512,6499.00,https://www.vivo.com.cn/vivo/param/x300pro,False,True,2026-09-02 15:03:17.565492,2026-09-02 15:03:17.565492
59,29,vivo,vivo X300 Pro,16,1024,16GB+1TB,,,False,True,2026-09-02 15:03:17.565492,2026-09-02 15:03:17.565492
60,29,vivo,vivo X300 Pro,12,512,12GB+512,5999.00,https://www.vivo.com.cn/vivo/param/x300pro,False,True,2026-09-02 15:03:17.565492,2026-09-02 15:03:17.565492
61,30,vivo,vivo X300,16,1024,16GB+1TB,6299.00,https://www.vivo.com.cn/vivo/param/x300,False,True,2026-09-02 15:03:17.567509,2026-09-02 15:03:17.567509
62,30,vivo,vivo X300,12,256,12GB+256,4599.00,https://www.vivo.com.cn/vivo/param/x300,False,True,2026-09-02 15:03:17.567509,2026-09-02 15:03:17.567509
63,30,vivo,vivo X300,16,256,16GB+256,4999.00,https://www.vivo.com.cn/vivo/param/x300,False,True,2026-09-02 15:03:17.567509,2026-09-02 15:03:17.567509
64,30,vivo,vivo X300,12,512,12GB+512,5299.00,https://www.vivo.com.cn/vivo/param/x300,False,True,2026-09-02 15:03:17.567509,2026-09-02 15:03:17.567509
65,30,vivo,vivo X300,16,512,16GB+512,5699.00,https://www.vivo.com.cn/vivo/param/x300,False,True,2026-09-02 15:03:17.567509,2026-09-02 15:03:17.567509
66,31,vivo,vivo S50 Pro mini,12,256,12GB+256,3699.00,https://www.vivo.com.cn/vivo/param/s50promini,False,True,2026-09-02 15:03:17.569503,2026-09-02 15:03:17.569503
67,31,vivo,vivo S50 Pro mini,12,512,12GB+512,3999.00,https://www.vivo.com.cn/vivo/param/s50promini,False,True,2026-09-02 15:03:17.569503,2026-09-02 15:03:17.569503
68,31,vivo,vivo S50 Pro mini,16,512,16GB+512,4299.00,https://www.vivo.com.cn/vivo/param/s50promini,False,True,2026-09-02 15:03:17.569503,2026-09-02 15:03:17.569503
69,32,vivo,vivo S50,12,256,12GB+256,2999.00,https://www.vivo.com.cn/vivo/param/s50,False,True,2026-09-02 15:03:17.570503,2026-09-02 15:03:17.570503
70,32,vivo,vivo S50,12,512,12GB+512,3299.00,https://www.vivo.com.cn/vivo/param/s50,False,True,2026-09-02 15:03:17.570503,2026-09-02 15:03:17.570503
71,32,vivo,vivo S50,16,256,16GB+256,3399.00,https://www.vivo.com.cn/vivo/param/s50,False,True,2026-09-02 15:03:17.570503,2026-09-02 15:03:17.570503
72,32,vivo,vivo S50,16,512,16GB+512,3599.00,https://www.vivo.com.cn/vivo/param/s50,False,True,2026-09-02 15:03:17.570503,2026-09-02 15:03:17.570503
73,33,vivo,vivo Y500,12,512,12GB+512,1999.00,https://www.vivo.com.cn/vivo/param/y500,False,True,2026-09-02 15:03:17.572503,2026-09-02 15:03:17.572503
74,33,vivo,vivo Y500,12,256,12GB+256,1799.00,https://www.vivo.com.cn/vivo/param/y500,False,True,2026-09-02 15:03:17.572503,2026-09-02 15:03:17.572503
75,33,vivo,vivo Y500,8,256,8GB+256,1599.00,https://www.vivo.com.cn/vivo/param/y500,False,True,2026-09-02 15:03:17.572503,2026-09-02 15:03:17.572503
76,33,vivo,vivo Y500,8,128,8GB+128,1399.00,https://www.vivo.com.cn/vivo/param/y500,False,True,2026-09-02 15:03:17.572503,2026-09-02 15:03:17.572503
77,34,vivo,iQOO 15 Ultra,16,256,16GB+256,,,False,True,2026-09-02 15:03:17.574503,2026-09-02 15:03:17.574503
78,34,vivo,iQOO 15 Ultra,16,512,16GB+512,6499.00,https://www.vivo.com.cn/vivo/param/iqoo15ultra,False,True,2026-09-02 15:03:17.574503,2026-09-02 15:03:17.574503
79,34,vivo,iQOO 15 Ultra,16,1024,16GB+1TB,7499.00,https://www.vivo.com.cn/vivo/param/iqoo15ultra,False,True,2026-09-02 15:03:17.574503,2026-09-02 15:03:17.574503
80,34,vivo,iQOO 15 Ultra,24,1024,24GB+1TB,8199.00,https://www.vivo.com.cn/vivo/param/iqoo15ultra,False,True,2026-09-02 15:03:17.574503,2026-09-02 15:03:17.574503
81,35,vivo,iQOO 15,12,256,12GB+256,,,False,True,2026-09-02 15:03:17.576502,2026-09-02 15:03:17.576502
82,35,vivo,iQOO 15,16,256,16GB+256,5299.00,https://www.vivo.com.cn/vivo/param/iqoo15,False,True,2026-09-02 15:03:17.576502,2026-09-02 15:03:17.576502
83,35,vivo,iQOO 15,12,512,12GB+512,5599.00,https://www.vivo.com.cn/vivo/param/iqoo15,False,True,2026-09-02 15:03:17.576502,2026-09-02 15:03:17.576502
84,35,vivo,iQOO 15,16,512,16GB+512,5999.00,https://www.vivo.com.cn/vivo/param/iqoo15,False,True,2026-09-02 15:03:17.576502,2026-09-02 15:03:17.576502
85,35,vivo,iQOO 15,16,1024,16GB+1TB,6999.00,https://www.vivo.com.cn/vivo/param/iqoo15,False,True,2026-09-02 15:03:17.576502,2026-09-02 15:03:17.576502
86,38,realme,真我GT7,16,1024,16GB+1TB,,,False,True,2026-09-02 15:03:17.579511,2026-09-02 15:03:17.579511
87,38,realme,真我GT7,24,1024,24GB+1TB,,,False,True,2026-09-02 15:03:17.579511,2026-09-02 15:03:17.579511
88,39,realme,真我GT7 Pro,16,1024,16GB+1TB,,,False,True,2026-09-02 15:03:17.580510,2026-09-02 15:03:17.580510
89,41,realme,真我Neo7 Turbo,16,512,16GB+512,,,False,True,2026-09-02 15:03:17.582341,2026-09-02 15:03:17.582341
90,43,realme,真我V70,8,256,8GB+256,,,False,True,2026-09-02 15:03:17.584349,2026-09-02 15:03:17.584349
91,48,三星,Samsung Galaxy S25 Ultra,12,256,12GB+256,,,False,True,2026-09-02 15:03:17.588352,2026-09-02 15:03:17.588352
92,48,三星,Samsung Galaxy S25 Ultra,16,1024,16GB+1TB,,,False,True,2026-09-02 15:03:17.588352,2026-09-02 15:03:17.588352
93,49,三星,Samsung Galaxy S25,12,256,12GB+256,,,False,True,2026-09-02 15:03:17.589352,2026-09-02 15:03:17.589352
94,50,魅族,魅族 22,12,256,12GB+256,,,False,True,2026-09-02 15:03:17.591686,2026-09-02 15:03:17.591686
95,50,魅族,魅族 22,12,512,12GB+512,,,False,True,2026-09-02 15:03:17.591686,2026-09-02 15:03:17.591686
96,50,魅族,魅族 22,16,512,16GB+512,,,False,True,2026-09-02 15:03:17.591686,2026-09-02 15:03:17.591686
