priority,brand,model_name,ram_gb,storage_gb,variant_name,platform,search_url,store_name,product_title,product_url,regular_price,public_sale_price,gov_price,billion_subsidy_price,promotion_labels,promotion_stackable,in_stock,evidence_text_path,screenshot_path,reviewer,review_status,manual_note
HIGH,vivo,iQOO 15,16,512,16GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20iQOO%2015%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,iQOO 15,16,1024,16GB+1TB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20iQOO%2015%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300,12,256,12GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300,16,256,16GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%2016GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300,12,512,12GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300,16,512,16GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300,16,1024,16GB+1TB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300 Pro,12,256,12GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%20Pro%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300 Pro,16,512,16GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%20Pro%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300 Pro,12,512,12GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%20Pro%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
HIGH,vivo,vivo X300 Pro,16,1024,16GB+1TB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%20Pro%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,,,,,,,unknown,true,,,,pending,请人工确认官方旗舰店、SKU和当前公开价格后保留页面截图
