brand,model_name,ram_gb,storage_gb,variant_name,platform,search_url,store_name,external_id,sku_text,product_title,product_url,region,regular_price,public_sale_price,gov_price,billion_subsidy_price,promotion_labels,promotion_stackable,in_stock,evidence_text_path,screenshot_path,reviewer,review_status
vivo,vivo X200 Pro,16,1024,16GB+1TB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X200%20Pro%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+1TB,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17 Pro,,256,256,jd,https://search.jd.com/Search?keyword=Apple%20iPhone%2017%20Pro%20256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,256,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17 Pro,,256,256,tmall,https://list.tmall.com/search_product.htm?q=Apple%20iPhone%2017%20Pro%20256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,256,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17 Pro,,256,256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=Apple%20iPhone%2017%20Pro%20256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,256,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17 Pro,,512,512,jd,https://search.jd.com/Search?keyword=Apple%20iPhone%2017%20Pro%20512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,512,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17 Pro,,512,512,tmall,https://list.tmall.com/search_product.htm?q=Apple%20iPhone%2017%20Pro%20512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,512,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17 Pro,,512,512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=Apple%20iPhone%2017%20Pro%20512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,512,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17 Pro,,1024,1TB,jd,https://search.jd.com/Search?keyword=Apple%20iPhone%2017%20Pro%201TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,1TB,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17 Pro,,1024,1TB,tmall,https://list.tmall.com/search_product.htm?q=Apple%20iPhone%2017%20Pro%201TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,1TB,,,中国大陆,,,,,,unknown,true,,,,pending
Apple,iPhone 17 Pro,,1024,1TB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=Apple%20iPhone%2017%20Pro%201TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,1TB,,,中国大陆,,,,,,unknown,true,,,,pending
